id,edge,startPos,endPos,friendlyPos,ref_id
-101338586,-11389403#0,210.53,225.53,True,1
-1383533494,-1066214689#0,75.8,90.8,True,2
-1383533522,-31091960#2,9.56,24.56,True,3
-1383533578,-137534616,27.36,42.36,True,4
-1560223555,-1050686755#3,28.8,43.8,True,5
-1560223790,-1050686757#2,0.0,10.6,True,6
-1906421953,-679901152#2,0.0,7.7,True,7
-355914690,-363443437,40.46,55.46,True,8
-385200818,-314415495#7,22.8,37.8,True,9
-3892451598,-178028204#1,16.55,31.55,True,10
-3892451600,-147053824#4,74.62,89.62,True,11
1383533459,24152326#0,57.47,72.47,True,12
1383533461,318210360#0,37.82,52.82,True,13
1383533462,986672064#0,0.0,7.7,True,14
1383533492,1066214689#0,38.06,53.06,True,15
1383533513,679714112,0.71,15.71,True,16
1383533514,238053689#0,0.0,9.37,True,17
1383533572,11389403#0,16.54,31.54,True,18
1383533575,149611526,23.98,38.98,True,19
1383533577,137534616,34.86,49.86,True,20
1383533594,1014229941#0,29.35,44.35,True,21
1383533597,166142947,13.87,28.87,True,22
1383533607,237122662#0,33.54,48.54,True,23
1560223236,143308587#0,0.0,7.7,True,24
1656195133,206889086#0,0.0,9.7,True,25
1862990707,153021549#1,31.74,46.74,True,26
1906421957,1072269112,6.18,21.18,True,27
2391105467,142575672#3,16.01,23.51,True,28
297194207,113575152#8,46.94,61.94,True,29
301331956,143308546#0,89.96,104.96,True,30
306982602,143308542#2,99.75,114.75,True,31
361152203,70553241#0,3.82,18.82,True,32
361152205,31091960#2,15.61,30.61,True,33
3812676495,977639651#0,0.0,12.55,True,34
3834046602,190928927#2,22.83,37.83,True,35
3834046603,113575152#0,26.6,41.6,True,36
3834046604,190928927#10,33.86,48.86,True,37
385200819,314415495#6,45.79,60.79,True,38
3892451601,147053824#3,5.3,20.3,True,39
3893875078,461514282#1,214.95,229.95,True,40
4017682630,363443437,34.46,49.46,True,41
464396487,143308542#0,0.0,10.79,True,42
464396566,670062907#0,0.0,9.35,True,43
464396589,143308542#10,70.62,85.62,True,44
5836660322,976351540#0,0.0,12.57,True,45
664208807,1050686757#2,0.0,9.58,True,46
671564316,143308532#0,2.62,17.62,True,47
766875150,178028204#1,61.45,86.45,True,48
8058787291,976351540#0,0.0,12.57,True,49
8176926617,976351540#0,0.0,12.57,True,50
837696418,143308532#3,37.37,52.37,True,51
837696524,46039050#2,38.05,53.05,True,52
945142241,1050686755#1,29.9,44.9,True,53
