line_id,length,0,1,2,3,4,5,6,7,8,9
1119047,2,837696524,1560223236,,,,,,,,
11788176,7,8176926617,8058787291,-1906421953,-3892451598,-3892451600,-101338586,361152203,,,
11788177,7,1383533607,1383533572,3892451601,1906421957,1383533597,1656195133,8176926617,,,
1226998,4,1656195133,464396566,301331956,1560223236,,,,,,
1227007,3,464396487,306982602,464396589,,,,,,,
1227008,3,1383533462,1862990707,1656195133,,,,,,,
1227011,3,5836660322,3812676495,1383533461,,,,,,,
1227012,7,837696524,464396487,306982602,464396589,5836660322,3812676495,1383533461,,,
1231708,4,1656195133,464396566,301331956,1560223236,,,,,,
1231710,4,1656195133,-385200818,-1560223790,-1560223555,,,,,,
2004392,4,4017682630,-1383533522,1383533513,361152203,,,,,,
2004451,4,1383533607,1383533514,361152205,-355914690,,,,,,
2064835,10,1383533594,3834046603,297194207,-1383533494,1383533577,1383533575,1656195133,464396566,301331956,1560223236
2077981,1,-3892451598,,,,,,,,,
2084497,1,-3892451598,,,,,,,,,
2194813,1,1383533607,,,,,,,,,
2194814,1,361152203,,,,,,,,,
2212554,4,1383533462,1862990707,1656195133,8058787291,,,,,,
2212555,3,8058787291,3812676495,1383533461,,,,,,,
2221928,3,945142241,664208807,385200819,,,,,,,
228027,9,464396487,306982602,464396589,5836660322,1383533459,-1383533578,1383533492,3834046602,3834046604,
35009,7,1383533462,1862990707,1656195133,464396566,301331956,671564316,837696418,,,
35032,2,671564316,837696418,,,,,,,,
35040,4,464396487,306982602,464396589,8058787291,,,,,,
6783677,10,1383533594,3834046603,297194207,-1383533494,1383533577,1383533575,1656195133,464396566,301331956,1560223236
6783678,9,464396487,306982602,464396589,5836660322,1383533459,-1383533578,1383533492,3834046602,3834046604,
