id,from,to,priority,type,shape,name,spreadType
-1013778651,cluster_2471310309_505190500,505190288,1,highway.service,"2449.57,531.30 2457.46,537.02 2461.28,539.61 2463.93,541.51",,
-1013946637,cluster_6275106373_7488555774_9354650683_9354650693,9354650681,1,highway.service,"2366.51,826.93 2369.78,823.79 2371.68,822.23 2373.33,820.73",,
-1013946638,cluster_6275106373_7488555774_9354650683_9354650693,9354650690,1,highway.service,"2356.99,833.22 2352.00,837.51 2350.21,839.29 2347.52,842.40",,
-1013946641,9354654540,9354654537,1,highway.service,"2435.15,933.11 2431.27,935.99 2428.14,938.35 2420.62,944.29",,
-1013946642,9354654608,9354654606,1,highway.service,"2527.09,1061.40 2523.10,1063.99 2519.65,1066.20 2518.78,1066.77",,
-1013946643,9354654612,9354654609,1,highway.service,"2516.75,1045.21 2513.23,1047.44 2509.90,1049.54 2508.95,1050.14",,
-1013946644,434454289,9354654613,1,highway.service,"2506.26,1028.76 2502.80,1031.12 2499.51,1033.28 2498.69,1033.84",,
-1013946648,9354654646,9354654644,1,highway.service,"2538.67,1061.65 2542.95,1058.96 2546.93,1056.34 2551.00,1053.80",,
-1013946649,289808049,2471305130,1,highway.service,"2545.99,1098.11 2541.67,1100.61 2538.27,1102.59 2533.53,1105.01 2528.92,1106.11 2521.90,1092.57 2514.99,1089.55 2496.76,1082.02",,
-1013946650,5551188932,cluster_105789410_593902037,4,highway.unclassified,"2573.18,1109.75 2570.91,1112.48 2567.37,1116.72",,
-1014130057,cluster_294153466_74947181,129255777,10,highway.tertiary,"3076.10,1625.29 3083.78,1626.69 3090.39,1628.01 3091.82,1628.28 3093.25,1628.54 3098.53,1630.08 3101.38,1630.90 3110.06,1634.30",Glienicker Straße,
-1014229941#0,2869270624,1640587099,10,highway.tertiary,"3186.29,1712.38 3202.48,1729.13 3213.62,1740.67 3238.70,1767.69",Glienicker Straße,
