id,from,to,priority,type,shape,name,spreadType
-1013778651,cluster_2471310309_505190500,505190288,1,highway.service,"[2461.28, 539.61]",,
-1013946637,cluster_6275106373_7488555774_9354650683_9354650693,9354650681,1,highway.service,"[2366.51, 826.93]",,
-1013946638,cluster_6275106373_7488555774_9354650683_9354650693,9354650690,1,highway.service,"[2371.68, 822.23]",,
-1013946641,9354654540,9354654537,1,highway.service,"[2356.99, 833.22]",,
-1013946642,9354654608,9354654606,1,highway.service,"[2350.21, 839.29]",,
-1013946643,9354654612,9354654609,1,highway.service,"[2435.15, 933.11]",,
-1013946644,434454289,9354654613,1,highway.service,"[2428.14, 938.35]",,
-1013946648,9354654646,9354654644,1,highway.service,"[2527.09, 1061.4]",,
-1013946649,289808049,2471305130,1,highway.service,"[2516.75, 1045.21]",,
-1013946650,5551188932,cluster_105789410_593902037,4,highway.unclassified,"[2513.23, 1047.44]",,
-1014130057,cluster_294153466_74947181,129255777,10,highway.tertiary,"[2502.8, 1031.12]",Glienicker Straße,
-1014229941#0,2869270624,1640587099,10,highway.tertiary,"[2498.69, 1033.84]",Glienicker Straße,
-1018533067,295872474,6315900656,11,highway.secondary,"[2546.93, 1056.34]",Oberspreestraße,
-1034179020,1625633830,1625633844,2,highway.living_street,"[2545.99, 1098.11]",Süßer Grund,
-1050686742,1570019871,1570019888,1,highway.service,"[2533.53, 1105.01]",,
-1050686755#1,cluster_1560223552_1570019826,294170850,10,highway.tertiary,"[2521.9, 1092.57]",Am Studio,
-1050686755#3,9655235511,cluster_1560223552_1570019826,10,highway.tertiary,"[2514.99, 1089.55]",Am Studio,
-1050686755#4,1560223649,9655235511,10,highway.tertiary,"[2573.18, 1109.75]",Am Studio,
-1050686757#0,1570019871,1560223649,10,highway.tertiary,"[2570.91, 1112.48]",Am Studio,
-1050686757#1,9655236487,1570019871,10,highway.tertiary,"[3076.1, 1625.29]",Am Studio,
-1050686757#2,295850214,9655236487,10,highway.tertiary,"[3090.39, 1628.01]",Am Studio,
-1050686766#0,5548037100,1560223962,3,highway.residential,"[3093.25, 1628.54]",Richard-Willstätter-Straße,
-1050686766#4,1560223636,5548037059,3,highway.residential,"[3098.53, 1630.08]",Richard-Willstätter-Straße,
-1050728695#0,5548037062,1560223807,1,highway.service,"[3186.29, 1712.38]",,
-1050728695#1,1560223749,5548037062,1,highway.service,"[3202.48, 1729.13]",,
-1050728696,9655624253,9655624251,1,highway.service,"[3238.7, 1767.69]",,
-1050728697,9655624256,1560223822,1,highway.service,"[1777.5, 3082.77]",,
-1050728727,cluster_5072357892_9655624378,9655624377,1,highway.service,"[1772.64, 3084.55]",,
-1050728730,cluster_5072357892_9655624378,cluster_294164608_294164609_7170324903,1,highway.service,"[1669.61, 3122.79]",,
-1051263372#0,1652675104,3246050935,10,highway.tertiary,"[2322.21, 1338.69]",Wagner-Régeny-Straße,
-1051412287,8221887353,581795667,1,highway.service,"[2195.27, 1502.44]",,
