dateandtime,vehid,coord,gpscoord,spdK/m,edge,lane,displacement,turnAngle,vehDen
2022-12-04 19:02:00,carIn10324:1,"[3119.1727887458364, 2566.1781256411214]","[13.56266913333415, 52.44572360180655]",0.0,204977490#1,204977490#1_0,4087.05,25.54,203
2022-12-04 19:02:00,carIn11424:3,"[3103.8758374499666, 2544.5843886942607]","[13.562450457467092, 52.44552679435402]",0.0,204977490#1,204977490#1_1,871.48,29.22,203
2022-12-04 19:02:00,carIn11528:3,"[1770.9382468459733, 1520.3626851645104]","[13.543148926070328, 52.43608177186286]",26.92280872759398,-152839426,-152839426_0,2317.37,60.36,203
2022-12-04 19:02:00,carIn12001:3,"[571.6500798282102, 1639.676423671662]","[13.52547755025802, 52.436935477942626]",48.70104990836985,-135777010#4,-135777010#4_0,379.21,228.06,203
2022-12-04 19:02:00,carIn12158:1,"[1850.7197376592196, 1571.0006480503694]","[13.544307124140381, 52.43655132389176]",28.33306640724605,178028204#5,178028204#5_0,2515.34,239.62,203
2022-12-04 19:02:00,carIn1270:3,"[1903.8681206212643, 1597.8789205723233]","[13.545080729375208, 52.43680250869732]",23.26741191256538,:cluster_237254713_3234767440_9,:cluster_237254713_3234767440_9_0,1878.45,61.25,203
2022-12-04 19:02:00,carIn1286:3,"[3251.619303176185, 2385.310493888229]","[13.56467006393798, 52.444121724818736]",31.809963805100427,207086007,207086007_0,485.63,268.47,203
2022-12-04 19:02:00,carIn13356:3,"[796.3931518749932, 792.0034446681196]","[13.529036188942587, 52.429358329525066]",53.92059113479086,143308546#4,143308546#4_0,648.79,245.24,203
2022-12-04 19:02:00,carIn1359:3,"[1030.321583718154, 925.8708230177434]","[13.532435629051967, 52.4306041824301]",36.57248021247152,143308542#5,143308542#5_0,837.65,61.07,203
2022-12-04 19:02:00,carIn13698:3,"[3111.402980392714, 2551.486424912379]","[13.562559150174069, 52.44559017185003]",0.0,204977490#1,204977490#1_0,2540.36,29.23,203
2022-12-04 19:02:00,carIn13751:3,"[922.2366078636064, 1946.4634489960722]","[13.530541301367677, 52.43975685198578]",15.88941030499987,:1652675141_1,:1652675141_1_0,1319.27,312.72,203
2022-12-04 19:02:00,carIn14996:3,"[1810.5745851665577, 1275.0264532479594]","[13.543804479597101, 52.4338840204602]",37.739443750839406,149611526,149611526_0,473.84,237.72,203
2022-12-04 19:02:00,carIn1505:3,"[554.9566096122462, 724.7153744350339]","[13.525506584183013, 52.428709373166036]",52.265343208097725,143308532#0,143308532#0_0,2036.18,257.42,203
2022-12-04 19:02:00,carIn16176:3,"[2502.0867880924116, 2874.511028007894]","[13.553501984747008, 52.44838404572087]",25.99958261044151,-177615723#1,-177615723#1_0,3189.99,20.31,203
2022-12-04 19:02:00,carIn16197:3,"[2482.264678839072, 2830.1849105069336]","[13.553223470858388, 52.44798210220936]",0.0,177615723#1,177615723#1_0,132.02,200.29,203
2022-12-04 19:02:00,carIn16899:3,"[2526.3143754570197, 2807.345431128546]","[13.553878128766309, 52.44778475982138]",42.977588107057066,31091960#2,31091960#2_0,4926.25,290.36,203
2022-12-04 19:02:00,carIn17580:3,"[1880.1472844916907, 2056.6765925636337]","[13.544596023194304, 52.440921606618694]",23.55908092064783,178028209#1,178028209#1_0,254.48,323.46,203
2022-12-04 19:02:00,carIn17621:3,"[1814.2381705987502, 632.1934147933331]","[13.544048777388026, 52.428107291053536]",40.00576611119261,1050686757#0,1050686757#0_0,453.48,320.25,203
2022-12-04 19:02:00,carIn17749:3,"[3041.259512225365, 1551.5254180027202]","[13.56182017223063, 52.43659052940103]",49.70013749908689,26814968#1,26814968#1_0,1693.03,40.86,203
2022-12-04 19:02:00,carIn17845:3,"[347.2299306173977, 634.5719802942674]","[13.52247956792605, 52.42786109888461]",38.85484552078433,142575699#2,142575699#2_0,253.04,355.99,203
2022-12-04 19:02:00,carIn18067:1,"[1969.451643062295, 418.2282306875103]","[13.546394072205942, 52.426212378122095]",52.03271517247683,318210383#0,318210383#0_0,2668.73,45.8,203
2022-12-04 19:02:00,carIn19018:3,"[1135.1970711128686, 1710.901480343926]","[13.533743450571496, 52.43767865535051]",50.718912620153745,334308447#10,334308447#10_0,2024.95,319.44,203
2022-12-04 19:02:00,carIn20229:3,"[3120.6468169859854, 2606.3936336622646]","[13.562679047858943, 52.44608529995438]",0.0,-1093045352#2,-1093045352#2_1,416.32,179.31,203
2022-12-04 19:02:00,carIn2212:3,"[648.1999648825135, 707.5300607368819]","[13.52688265108695, 52.42857201202519]",42.262288408512305,143308590#0,143308590#0_1,450.06,1.86,203
2022-12-04 19:02:00,carIn22959:3,"[1583.6249115041476, 1428.3114886611656]","[13.540421801070407, 52.435220503789225]",44.06428620382646,206889086#0,206889086#0_0,639.78,240.38,203
2022-12-04 19:02:00,carIn23695:3,"[584.4885593522554, 483.0600208034885]","[13.526013240132365, 52.4265429519456]",48.48815093860532,326994261#0,326994261#0_0,4642.76,269.03,203
2022-12-04 19:02:00,carIn23893:3,"[1150.957296279607, 1692.706160712063]","[13.533980642396807, 52.437518001508415]",52.74632534198154,334308447#9,334308447#9_0,2692.75,318.87,203
2022-12-04 19:02:00,carIn24211:1,"[2552.047901266357, 1132.1557170801873]","[13.554749458532683, 52.43273375396826]",29.25935039928682,99157761#0,99157761#0_0,3424.68,140.44,203
2022-12-04 19:02:00,carIn24239:3,"[2474.384262838099, 963.4905463806147]","[13.553657119215542, 52.43120392353647]",45.7573404400499,318210375#1,318210375#1_0,1416.8,35.74,203
2022-12-04 19:02:00,carIn24680:3,"[2618.3134182381323, 2002.1173754235158]","[13.555468131694038, 52.44056437958369]",48.468739224157794,11389403#1,11389403#1_0,2758.68,241.31,203
2022-12-04 19:02:00,carIn24912:3,"[2198.056025719533, 1763.3238550429628]","[13.549358043230871, 52.438342581343136]",34.70974532324117,:cluster_150756867_237252932_9,:cluster_150756867_237252932_9_0,688.2,59.6,203
2022-12-04 19:02:00,carIn25009:3,"[2017.9756651562352, 1665.3793282383517]","[13.546738763842596, 52.43742979654979]",30.470390230293923,178028204#1,178028204#1_0,1320.35,240.79,203
2022-12-04 19:02:00,carIn2601:3,"[1533.4671633997898, 1399.1389522510992]","[13.539692908682163, 52.43494921256954]",41.078931522405824,206889086#0,206889086#0_0,1324.14,239.71,203
2022-12-04 19:02:00,carIn27385:3,"[1142.5237137505555, 416.75385677778337]","[13.53423718024467, 52.42604903173132]",47.36521814521703,-190083608#1,-190083608#1_0,4496.48,276.37,203
2022-12-04 19:02:00,carIn27465:3,"[1805.1757117892982, 1543.8877854343903]","[13.54364542093918, 52.4362994030844]",29.04361038160167,166142947,166142947_0,2712.23,238.54,203
2022-12-04 19:02:00,carIn27947:3,"[1464.008323202411, 1332.830250253886]","[13.538691251861948, 52.434340653273324]",15.221963061750406,:cluster_1652675097_1652675099_10,:cluster_1652675097_1652675099_10_1,1339.98,53.1,203
2022-12-04 19:02:00,carIn28043:3,"[2060.9972403012866, 1685.7680279322867]","[13.547365395172084, 52.43762081183223]",24.049873196341395,:cluster_237253947_3909915214_7,:cluster_237253947_3909915214_7_0,2277.89,60.75,203
2022-12-04 19:02:00,carIn29577:3,"[2894.1298139484243, 2215.361515063002]","[13.559461968198676, 52.442530381845124]",48.0945218911221,23010175#0,23010175#0_0,3688.14,352.44,203
2022-12-04 19:02:00,carIn29635:3,"[2553.030888537097, 3020.7015423819125]","[13.554208308175937, 52.44970708287205]",27.430774346983423,177615723#0,177615723#0_0,3288.56,200.51,203
2022-12-04 19:02:00,carIn30073:3,"[2706.7322047027055, 1272.4688888232167]","[13.556982756413046, 52.43402259001062]",44.79841048557934,190928927#5,190928927#5_0,2560.52,50.26,203
2022-12-04 19:02:00,carIn30123:3,"[1840.5916100471127, 3057.788957764049]","[13.543717555439525, 52.449911812472635]",42.171514273387544,679714114,679714114_0,5336.78,110.25,203
2022-12-04 19:02:00,carIn30874:3,"[2543.2008749577108, 2994.427052036647]","[13.55407144568228, 52.44946917549596]",24.25037322837541,177615723#0,177615723#0_0,323.75,200.51,203
2022-12-04 19:02:00,carIn32044:1,"[297.20713641814376, 504.1985441043477]","[13.52178332384064, 52.42668019947606]",41.179749752898644,190083610#0,190083610#0_1,61.35,95.67,203
2022-12-04 19:02:00,carIn32869:3,"[3119.759150289703, 2575.4079310375605]","[13.562675057373802, 52.44580665899532]",0.0,204977490#1,204977490#1_1,451.24,23.93,203
2022-12-04 19:02:00,carIn33560:3,"[253.42506838075016, 2211.6193710824914]","[13.520625780967222, 52.44201724391819]",46.19830797643471,97206935#0,97206935#0_0,172.85,139.2,203
2022-12-04 19:02:00,carIn33701:3,"[1306.0664713327683, 1172.30857877263]","[13.536416597170996, 52.432869261663434]",13.084577647475525,:cluster_30618470_36268429_9,:cluster_30618470_36268429_9_0,1131.34,45.5,203
2022-12-04 19:02:00,carIn34509:1,"[1025.484647485044, 2149.8275600496363]","[13.531998938718699, 52.44160341201856]",51.82247686514525,354090677,354090677_0,1232.27,139.4,203
2022-12-04 19:02:00,carIn35588:3,"[2722.306183415154, 2734.8183197990443]","[13.556782302723521, 52.44716814732086]",51.47858222031709,1072169602,1072169602_0,4681.74,289.81,203
2022-12-04 19:02:00,carIn3732:3,"[1120.748617931196, 2038.6680757736]","[13.533433155959354, 52.44062176963509]",65.58724268890266,354090677,354090677_0,309.86,139.4,203
2022-12-04 19:02:00,carIn3778:3,"[1091.2430254702795, 670.7196658686062]","[13.533407500519417, 52.428322163842054]",50.49873865251651,-147859765#2,-147859765#2_0,255.58,319.88,203
2022-12-04 19:02:00,carIn3933:3,"[268.8595534193946, 1904.0744638321319]","[13.520945353972827, 52.43925608984133]",48.60042555428916,-224731112,-224731112_0,149.45,319.35,203
2022-12-04 19:02:00,carIn4086:1,"[774.749078471622, 1599.7272275926916]","[13.52847614749004, 52.43661364844217]",41.368341593211845,:1912649841_1,:1912649841_1_0,976.8,139.72,203
2022-12-04 19:02:00,carIn420:3,"[3096.5725424996876, 2531.528125317858]","[13.562346858499009, 52.445408146019304]",0.0,204977490#1,204977490#1_1,3609.85,29.24,203
2022-12-04 19:02:00,carIn5036:3,"[342.87515977128135, 2601.6968697811694]","[13.521823962123683, 52.445539432464756]",49.24077322200872,850224612,850224612_0,48.96,320.3,203
2022-12-04 19:02:00,carIn5290:3,"[1876.0188686385086, 1585.8316751504474]","[13.544674763250923, 52.436689195605915]",30.07869304942802,178028204#5,178028204#5_0,1599.51,239.6,203
2022-12-04 19:02:00,carIn565:3,"[1818.35699206082, 1230.6322730032052]","[13.543932067706734, 52.433486442021625]",46.92168419859479,153021549#5,153021549#5_2,511.82,318.14,203
2022-12-04 19:02:00,carIn5768:3,"[2361.1158764858733, 818.430294457604]","[13.552034402709252, 52.429879820797254]",45.4874540102609,27087586#0,27087586#0_0,181.23,42.4,203
2022-12-04 19:02:00,carIn5815:3,"[1977.8817986640136, 431.599999240408]","[13.546514057756896, 52.42633407941117]",51.1650717118336,:cluster_1560223374_1560223386_4,:cluster_1560223374_1560223386_4_1,1779.2,40.38,203
2022-12-04 19:02:00,carIn714:3,"[93.84751741936333, 1021.7368824448414]","[13.51863760596756, 52.4312940503222]",8.40511730495596,:456893959_0,:456893959_0_0,2581.61,98.7,203
2022-12-04 19:02:00,carIn7364:3,"[2993.0033279982804, 1790.73062484559]","[13.561040501195286, 52.43873174101619]",30.554441754632542,23010175#0,23010175#0_0,2548.18,333.73,203
2022-12-04 19:02:00,carIn7797:3,"[2912.866545644796, 2078.7153706083814]","[13.559777591836598, 52.441305639728576]",50.79080359764238,23010175#0,23010175#0_0,2660.07,351.73,203
2022-12-04 19:02:00,carIn8297:3,"[1206.7994402468564, 1107.4780131094644]","[13.534976298193987, 52.432268529720574]",31.233661476109944,670062907#0,670062907#0_0,1791.67,225.26,203
2022-12-04 19:02:00,carIn8565:3,"[2231.836058983406, 2913.1026865142953]","[13.549515397251968, 52.44868219265454]",54.360862589689184,363443437,363443437_0,5594.96,110.77,203
2022-12-04 19:02:00,carIn905:3,"[1897.0398672177864, 1604.7477323688738]","[13.544978283546401, 52.436863005804014]",0.0,-23913525#0,-23913525#0_0,372.68,150.26,203
2022-12-04 19:02:00,carIn9240:3,"[1819.8234089962225, 1552.790146959215]","[13.543858180535727, 52.436382064826006]",29.26730161645095,:1906421962_0,:1906421962_0_0,2865.62,239.09,203
2022-12-04 19:02:00,h10146c1:3,"[1238.674255332789, 1105.6737500133559]","[13.535445517063701, 52.43225812046238]",26.788631960699618,143308552#0,143308552#0_0,1218.4,45.36,203
2022-12-04 19:02:00,h101662c1:5,"[2875.9089312713663, 2436.4842968570974]","[13.559129138067298, 52.44451444328798]",45.85061059732139,25332091#1,25332091#1_0,485.49,177.01,203
2022-12-04 19:02:00,h101787c1:5,"[2431.106824232128, 527.5839444861349]","[13.553149097451302, 52.427278457052076]",39.98622280678516,670062920,670062920_0,2881.4,138.26,203
