dateandtime,vehid,coord,gpscoord,spdK/m,edge,lane,displacement,turnAngle,vehDen
2022-12-04 15:02:00,carIn10010:1,"[549.7422203965431, 710.4593810457151]","[13.525434195716995, 52.428580293845656]",37.44100127447264,46039050#3,46039050#3_0,396.69,77.21,126
2022-12-04 15:02:00,carIn11836:3,"[1467.491217171319, 1360.8262035644602]","[13.538734142150247, 52.43459289610379]",0.006304657013971505,318210389#0,318210389#0_0,1117.12,238.72,126
2022-12-04 15:02:00,carIn12569:1,"[1274.6750308000876, 1861.0397272792784]","[13.535749821959108, 52.43905341680727]",42.16921994952526,153021542,153021542_0,1614.05,138.27,126
2022-12-04 15:02:00,carIn12596:1,"[218.65181704740374, 1117.6947565245857]","[13.520443766684373, 52.4321794291342]",46.34804519751118,-38915289#1,-38915289#1_0,368.2,137.59,126
2022-12-04 15:02:00,carIn13878:1,"[639.3051829609401, 702.2943123578639]","[13.526753444511854, 52.42852332717069]",45.138800530485334,143308587#0,143308587#0_0,4137.54,175.47,126
2022-12-04 15:02:00,carIn14328:3,"[1153.7084299140274, 1054.3402025878327]","[13.5342115054118, 52.43178128636723]",38.32315845355798,670062907#0,670062907#0_0,1125.87,225.59,126
2022-12-04 15:02:00,carIn14393:3,"[379.8363548235597, 706.1684014707295]","[13.52293744331734, 52.42851054814501]",51.13473277867659,143308532#2,143308532#2_0,1409.6,265.88,126
2022-12-04 15:02:00,carIn14912:3,"[2566.9473702458267, 1974.3394313433766]","[13.554720877318573, 52.44030549664674]",50.49564464363546,147053824#1,147053824#1_0,483.15,241.91,126
2022-12-04 15:02:00,carIn1541:3,"[1084.1291403255686, 1768.7259275527551]","[13.53297520345394, 52.43818902833088]",44.869300251718045,91218505#1,91218505#1_0,2535.06,317.78,126
2022-12-04 15:02:00,carIn18752:3,"[1806.848006797811, 3070.2361054470075]","[13.543217504285256, 52.450017565982776]",19.772301906617983,679714114,679714114_0,5486.49,110.25,126
2022-12-04 15:02:00,carIn20255:1,"[2867.5421672385683, 2532.2971635984222]","[13.558977975581419, 52.44537405529855]",45.2675233115862,238053691,238053691_0,785.86,183.07,126
2022-12-04 15:02:00,carIn20355:3,"[1547.555982192682, 1577.7214192420417]","[13.53984702205525, 52.43655675755817]",38.83284732292736,40191607#3,40191607#3_0,4204.28,318.93,126
2022-12-04 15:02:00,carIn21414:3,"[1159.0175892976558, 1202.1240468809046]","[13.534245497793451, 52.433110439467725]",7.427375653479248,-143308527#0,-143308527#0_0,2.06,227.32,126
2022-12-04 15:02:00,carIn22159:1,"[636.2035237019325, 1763.839586810194]","[13.526389595465739, 52.43806320510466]",48.17813404433317,97206935#8,97206935#8_0,762.02,141.57,126
2022-12-04 15:02:00,carIn22187:3,"[2146.3750779443917, 1481.0338395089018]","[13.548681399519996, 52.43579620105589]",45.25556280857397,1066222296#0,1066222296#0_0,888.19,238.61,126
2022-12-04 15:02:00,carIn24381:3,"[88.88292859734804, 1032.2866395135836]","[13.518561430066809, 52.43138794945924]",43.97997342104396,-135777010#0,-135777010#0_0,2582.6,169.6,126
2022-12-04 15:02:00,carIn24986:1,"[770.725296805142, 1817.2531284327172]","[13.528351834700413, 52.43856788692282]",41.99872792787624,117951616#2,117951616#2_0,3963.51,227.5,126
2022-12-04 15:02:00,carIn25512:1,"[1808.1533788243617, 634.4916140311852]","[13.543958635120045, 52.42812684419362]",49.01111149112183,-1050686757#0,-1050686757#0_0,3410.11,140.21,126
